msme_id,sector,revenue_stability,transaction_velocity,liquidity_ratio,employment_consistency,compliance_score,growth_indicator,risk_band
MSME-LOW-67767,Services,0.8984037068835826,0.7044792762750621,0.8415652750067125,0.711827283111543,1,0.8643272345763986,Low
MSME-HIG-84188,Services,0.32545203671208056,0.2900289705523051,0.09430991987492769,0.19287884128514107,0.4983792148424303,0.46332934499361433,High
MSME-LOW-88492,Services,0.7447332386648293,0.9317857063960515,0.9030462246673586,0.82544556263935,0.9437535442176265,0.49900057628364697,Low
MSME-LOW-99801,Trader,0.7109007341778629,0.9281205274038384,0.7029471599209461,0.9480493357546439,1,0.8746216788803557,Low
MSME-MED-63559,Services,0.5109866948803039,0.2859061804005498,0.6780287920699077,0.42618251172266675,0.5155121183960407,0.6481396417397778,Medium
MSME-LOW-77784,Manufacturer,0.8033293140035619,0.7759201162713902,0.6607434554329402,0.8084298095523963,0.8775354493275337,1,Low
MSME-MED-68028,Services,0.6438741454975133,0.4810405341931646,0.5476266599062347,0.4201591298318765,0.7666838561175444,0.23633297740635123,Medium
MSME-LOW-43293,Manufacturer,0.9311937049185744,0.8189990482688542,0.6128117826601698,0.7638297218443555,1,0.6875340404427532,Low
MSME-HIG-22288,Services,0.3436940511793942,0.21587812217650854,0.26224078295384046,0.4602662235994384,0.5863900094058279,0.1455268531417642,High
MSME-LOW-29478,Trader,0.9616084606360582,1,0.8875353796745962,0.9063889520817419,1,0.8593396115624409,Low
MSME-LOW-38457,Trader,0.8359713905047584,0.9984883838227201,0.7052874344621249,0.6961008111553578,0.9044043343951277,0.7829261866608566,Low
MSME-LOW-56380,Trader,0.8997530119018412,1,0.6770906469743058,0.8575327658098484,1,0.8815861462375022,Low
MSME-LOW-17659,Manufacturer,0.8940390484076374,0.9524273316186455,0.6720369278482438,0.9104333678685054,1,0.9836585501396998,Low
MSME-MED-51826,Trader,0.39333832596876545,0.5089824889463708,0.32871329709101915,0.39956067145898866,0.6692312137683861,0.6351494171169605,Medium
MSME-HIG-71072,Trader,0.3212084698008465,0,0.18795979974167384,0.20847043561595668,0.22268256894611976,0.13154853132012656,High
MSME-MED-24653,Trader,0.5234673549059705,0.48391684215927133,0.7178092767900608,0.3000487007109137,0.6587331119185981,0.321807184625987,Medium
MSME-MED-22703,Trader,0.5144723851646007,0.3633524484942028,0.40582197655963204,0.4957264445745653,0.7934761144886837,0.527437696814169,Medium
MSME-LOW-59183,Trader,0.8659101082498886,0.8856094688466698,0.9185148025793987,0.9712372683931998,0.9392161361849488,0.8344887393401941,Low
MSME-HIG-93363,Manufacturer,0.3108804697611773,0.13964274848814753,0,0.2900011006798986,0.5608147186837167,0.23082444940786984,High
MSME-MED-72885,Manufacturer,0.4956052111710606,0.3524832341331414,0.5329370524218685,0.6544625351574684,0.8731944242979572,0.5713551070165159,Medium
MSME-MED-64270,Services,0.5953884711433016,0.25064851259557286,0.6261326144591421,0.5170083164290546,0.7959235536444199,0.6203026708358088,Medium
MSME-LOW-53878,Services,0.8037040678865347,0.6138976197202487,0.9495467578392925,0.5921954213705594,0.9716914810123456,0.6713355536439171,Low
MSME-MED-78582,Manufacturer,0.7320319242337742,0.5187452017123315,0.6856142104456765,0.6001755758263064,0.8653852295087282,0.48369515252515033,Medium
MSME-HIG-81242,Manufacturer,0.09791555068760173,0.1418749846377696,0.25376108315729634,0.17637074638000863,0.34774798425772935,0.1857767098512552,High
MSME-LOW-23778,Manufacturer,0.7254898845690189,0.9714382773235122,0.8913106937455912,0.7662080838891904,0.9569270975243656,0.794530231741628,Low
MSME-LOW-85036,Services,0.8490993176010471,0.6134687714838489,0.8800362608459105,0.8138625181553335,0.8913765761564812,0.57802671744819,Low
MSME-HIG-41600,Trader,0.3735568659290979,0.3606595256568941,0.33486271128389444,0,0.6885214494786839,0.41549259441905634,High
MSME-MED-52756,Manufacturer,0.5843743111609717,0.3274907627541197,0.1497576742018149,0.424971303543896,0.5142355280587223,0.30823918072774714,Medium
MSME-LOW-60560,Manufacturer,0.7356544322012599,1,0.8678425719705486,0.9083613250434652,1,0.6640891613664719,Low
MSME-HIG-16815,Manufacturer,0.3569402452368782,0.19250477409154723,0.4198903271479392,0.2897501117821312,0.39888635926807703,0.2847118578182873,High
MSME-MED-37854,Services,0.5661053184064039,0.7663929576997649,0.39047933348158215,0.21221576397597247,0.665757952605627,0.3248859741789641,Medium
MSME-LOW-43807,Services,0.8762197003435124,0.9420019260080392,0.7277748668178893,0.8882816978874957,1,0.821299654677027,Low
MSME-LOW-63545,Manufacturer,0.7589813856157078,0.6795378321175659,0.7873784284823243,0.8468821603580456,0.943966343189341,0.596962288373377,Low
MSME-HIG-20417,Services,0.30428417028656346,0.24109772558413464,0.1594067314594893,0.11826286504237266,0.5403856720451373,0.05615541115262927,High
MSME-LOW-34980,Services,0.955386767015318,0.7437465228327779,0.7030070541031852,0.8482969232488806,0.9628902574901519,0.5736704120122021,Low
